114;300,7;110;1305,22
58;15,22;58;15,22
30;76,55;29;481,92
20;0,51;20;0,51
16;32,34;16;32,34
210;199,51;204;1514,54
77;224,07;77;224,07
76;154,99;75;460,2
55;264,01;53;991,35
25;250,07;23;1877,08
246;60,45;236;2513,5
116;260,15;109;1974,93
69;226,81;64;3113,67
87;152,02;87;152,02
35;250,55;31;1589,65
257;311,2;245;3270,14
186;151,05;174;3169,77
140;350,01;135;1459,59
84;342,47;78;887,67
84;150,88;81;3126,27
406;162,93;369;2699,32
141;310,31;129;998,7
128;190,87;116;2336,87
136;355,45;126;3481,49
80;218,09;71;3290,14
